alcohol,density,chlorides,volatile acidity,total sulfur dioxide,fixed acidity,quality
10.7,0.9926,0.046,0.23,96.0,6.7,8
9.5,0.9962,0.05,0.24,105.0,7.4,5
12.7,0.9898,0.043,0.18,87.0,7.1,7
12.0,0.9912,0.042,0.32,69.0,7.0,7
9.3,0.9961,0.064,0.18,103.0,7.4,5
9.0,0.9949,0.06,0.54,105.0,6.7,5
10.6,0.9929,0.053,0.22,114.0,6.8,6
9.2,0.9985,0.05,0.2,166.0,7.1,6
10.0,0.9946,0.063,0.34,164.0,7.1,5
9.5,0.9966,0.047,0.22,207.0,7.3,6
8.7,0.9974,0.045,0.43,155.0,7.1,5
8.7,0.9975,0.044,0.44,152.0,7.1,6
8.7,0.9974,0.044,0.39,156.0,7.2,6
9.7,0.9972,0.05,0.25,202.0,6.8,6
8.7,0.9974,0.045,0.43,155.0,7.1,5
8.7,0.9975,0.044,0.44,152.0,7.1,6
8.7,0.9974,0.044,0.39,156.0,7.2,6
9.0,0.9957,0.049,0.27,243.0,6.1,5
12.6,0.99,0.035,0.24,136.0,6.9,7
12.6,0.9899,0.034,0.21,136.0,6.9,7
11.5,0.9916,0.04,0.17,148.0,7.5,7
9.2,0.9969,0.044,0.26,240.0,7.1,6
8.8,0.9979,0.046,0.34,164.0,6.0,6
11.4,0.9913,0.034,0.265,80.0,8.6,7
10.1,0.9956,0.038,0.36,83.0,9.8,4
8.8,0.9979,0.046,0.34,164.0,6.0,6
9.1,0.9975,0.06,0.25,192.0,7.4,5
9.4,0.9962,0.054,0.12,162.0,7.1,5
9.4,0.997,0.05,0.21,164.0,6.0,5
9.0,1.0,0.059,0.305,170.0,7.5,5
9.1,0.9975,0.06,0.25,192.0,7.4,5
9.2,0.9974,0.051,0.13,109.0,7.3,6
9.4,0.9962,0.054,0.12,162.0,7.1,5
9.1,0.999,0.04,0.23,171.0,7.1,6
9.1,0.999,0.04,0.23,171.0,7.1,6
10.3,0.9927,0.051,0.33,187.0,6.9,5
8.8,0.9959,0.082,0.17,163.0,6.5,6
8.9,1.0,0.052,0.27,255.0,7.2,5
9.2,0.9982,0.056,0.31,195.0,7.2,5
9.1,0.9968,0.049,0.41,150.0,6.7,5
9.1,0.9968,0.049,0.41,150.0,6.7,5
9.7,0.994,0.065,0.485,103.0,5.5,4
11.3,0.9914,0.041,0.31,143.0,6.0,6
11.8,0.9911,0.035,0.14,85.0,7.0,6
9.2,0.9982,0.056,0.31,195.0,7.2,5
9.2,0.9982,0.06,0.32,196.0,7.3,5
10.2,0.9934,0.046,0.36,87.0,5.9,5
8.8,0.9984,0.054,0.24,138.0,7.8,5
9.7,0.9952,0.059,0.16,131.0,7.4,5
9.1,0.9952,0.058,0.19,146.0,6.9,6
9.8,0.9928,0.092,0.13,158.0,6.4,6
11.0,0.9912,0.026,0.19,143.0,6.7,6
10.5,0.994,0.033,0.39,126.0,7.4,5
9.7,0.9958,0.038,0.24,203.0,6.5,7
10.9,0.9924,0.044,0.3,179.0,6.1,7
10.9,0.9924,0.046,0.3,184.0,6.1,6
10.6,0.994,0.02,0.26,57.0,5.7,5
9.7,0.9958,0.038,0.24,203.0,6.5,7
9.0,0.9979,0.038,0.425,241.0,6.5,5
9.2,0.9982,0.035,0.24,188.0,6.6,5
8.9,0.9961,0.034,0.27,203.0,6.8,5
9.6,0.9979,0.036,0.27,179.0,6.7,5
10.7,0.992,0.027,0.23,121.0,8.2,6
8.7,0.9975,0.045,0.37,155.0,7.1,5
10.8,0.9917,0.035,0.19,96.0,6.8,7
11.8,0.9923,0.029,0.28,79.0,8.1,6
10.2,0.9927,0.045,0.31,77.0,6.3,5
8.7,0.9975,0.045,0.37,155.0,7.1,5
10.8,0.992,0.039,0.21,107.0,7.9,6
9.7,0.9947,0.036,0.21,99.0,8.5,6
11.2,0.9921,0.037,0.2,87.0,8.1,6
10.9,0.9905,0.04,0.255,114.0,6.3,6
10.1,0.9918,0.044,0.16,168.0,5.6,6
9.0,0.9951,0.058,0.595,97.0,6.4,4
12.0,0.9917,0.034,0.34,80.0,6.3,7
9.4,0.994,0.054,0.25,116.0,6.9,6
11.5,0.9934,0.043,0.22,152.0,7.9,7
9.9,0.9968,0.055,0.18,135.0,7.6,6
9.4,0.994,0.054,0.25,116.0,6.9,6
10.4,0.9919,0.048,0.18,97.0,7.2,5
9.7,0.9966,0.049,0.23,76.0,8.2,6
8.9,0.9979,0.066,0.24,198.0,7.4,6
8.9,0.9979,0.066,0.24,198.0,7.4,6
12.4,0.9898,0.036,0.32,124.0,6.1,7
12.1,0.9894,0.036,0.44,119.0,5.2,8
12.1,0.9894,0.036,0.44,119.0,5.2,8
12.4,0.9898,0.036,0.32,124.0,6.1,7
9.1,0.998,0.055,0.22,159.0,6.4,5
10.6,0.9932,0.049,0.36,85.0,6.3,5
8.9,0.9979,0.066,0.24,198.0,7.4,6
9.5,0.997,0.05,0.24,205.0,6.7,5
9.8,0.9972,0.051,0.23,177.0,7.0,5
9.6,0.9974,0.048,0.27,197.0,8.4,6
12.6,0.9896,0.034,0.46,98.0,6.7,7
9.3,0.9968,0.055,0.29,151.0,7.5,5
10.0,0.9958,0.034,0.42,110.0,9.8,5
12.7,0.9906,0.066,0.3,133.0,7.1,6
11.0,0.9917,0.045,0.19,96.0,7.9,6
11.4,0.9902,0.037,0.48,100.0,7.6,4
11.5,0.9918,0.038,0.22,130.0,6.3,7
10.2,0.999,0.051,0.27,173.0,7.5,5
11.4,0.9927,0.04,0.23,151.0,6.9,6
12.6,0.991,0.044,0.32,65.0,7.2,4
9.4,0.9972,0.054,0.23,170.0,5.9,5
8.7,0.9931,0.06,0.67,108.0,6.0,4
9.2,0.995,0.049,0.25,176.0,6.4,6
9.3,0.9951,0.048,0.33,173.0,6.4,6
9.2,0.9936,0.053,0.34,183.0,7.1,5
8.7,1.001,0.048,0.28,167.0,6.8,5
9.6,0.9979,0.05,0.27,227.0,6.9,6
9.3,0.997,0.043,0.26,226.0,6.8,5
9.3,0.9972,0.043,0.29,230.0,6.8,5
9.9,0.9954,0.04,0.24,166.0,6.7,6
11.0,0.9924,0.038,0.3,119.0,5.9,5
12.7,0.9906,0.034,0.53,109.0,6.8,8
8.9,0.9962,0.047,0.28,210.0,6.5,4
8.9,0.9962,0.052,0.28,211.0,6.6,6
8.7,1.001,0.048,0.28,167.0,6.8,5
11.4,0.9928,0.045,0.28,123.0,6.8,6
9.6,0.9942,0.055,0.15,125.0,6.6,5
9.1,0.9942,0.2,0.29,181.0,6.4,5
9.1,0.9942,0.197,0.3,180.0,6.4,6
9.1,0.9942,0.197,0.29,183.0,6.4,5
8.9,0.9961,0.052,0.26,214.0,6.8,5
8.8,0.998,0.05,0.32,204.0,7.1,5
8.9,0.9961,0.052,0.26,214.0,6.8,5
9.3,0.9984,0.049,0.27,196.0,6.8,5
8.8,0.998,0.05,0.32,204.0,7.1,5
9.6,0.9973,0.05,0.54,236.0,6.9,5
12.0,0.9949,0.034,0.26,134.0,6.8,6
10.2,0.9924,0.053,0.28,114.0,5.8,4
8.8,0.9972,0.042,0.21,153.0,6.4,5
9.2,0.9958,0.045,0.16,126.0,7.0,5
9.9,0.9968,0.049,0.44,124.0,10.2,4
10.2,0.9938,0.04,0.57,77.0,6.8,5
9.5,0.993,0.048,0.4,170.0,6.1,6
10.5,0.994,0.032,0.245,68.0,5.6,5
11.2,0.9918,0.038,0.18,111.0,6.8,7
9.2,0.9958,0.045,0.16,126.0,7.0,5
9.7,0.9944,0.051,0.13,122.0,6.7,6
11.1,0.9912,0.03,0.25,105.0,6.2,7
9.4,0.9961,0.044,0.26,152.0,5.8,5
11.0,0.9939,0.036,0.27,164.0,7.5,5
9.4,0.9961,0.044,0.26,152.0,5.8,5
9.4,0.9989,0.044,0.28,167.0,5.7,5
11.0,0.9938,0.036,0.23,161.0,7.5,5
11.0,0.9939,0.036,0.27,164.0,7.5,5
9.1,0.9971,0.07,0.685,172.0,7.2,6
11.1,0.9912,0.03,0.25,105.0,6.2,7
9.1,0.9936,0.043,0.19,144.0,6.5,6
10.4,0.9929,0.046,0.495,140.0,6.3,6
8.7,0.9998,0.046,0.24,145.0,7.1,5
9.7,0.9938,0.048,0.17,200.0,6.4,6
9.1,0.9969,0.041,0.25,272.0,7.1,6
9.7,0.9938,0.048,0.17,200.0,6.4,6
8.7,0.9998,0.046,0.24,145.0,7.1,5
8.9,0.9972,0.062,0.64,142.0,6.8,4
9.6,0.9976,0.041,0.28,194.0,8.3,6
9.5,0.9976,0.039,0.27,208.0,8.2,6
9.0,0.9979,0.058,0.23,194.0,7.2,6
9.0,0.9979,0.058,0.23,194.0,7.2,6
9.0,0.9979,0.058,0.23,194.0,7.2,6
9.0,0.9979,0.058,0.23,194.0,7.2,6
9.6,0.9972,0.044,0.52,221.0,6.8,6
11.1,0.9918,0.037,0.26,120.0,7.0,7
9.6,0.9982,0.039,0.25,159.0,6.2,6
8.7,0.9985,0.05,0.32,197.0,7.3,5
10.4,0.9944,0.031,0.31,90.0,7.7,5
11.4,0.9903,0.026,0.21,100.0,7.1,7
9.7,0.9934,0.047,0.24,218.5,6.8,6
8.7,0.9975,0.043,0.4,142.0,6.9,5
11.3,0.9923,0.038,0.18,249.5,6.1,6
12.6,0.99,0.03,0.21,139.0,6.8,7
10.9,0.9905,0.031,0.2,77.0,5.8,7
10.9,0.9905,0.03,0.19,76.0,5.6,7
10.0,0.996,0.037,0.41,119.0,6.1,5
10.0,0.9964,0.053,0.21,199.0,5.9,4
9.8,0.998,0.074,0.26,197.0,8.5,3
8.7,0.9975,0.043,0.4,142.0,6.9,5
11.7,0.9913,0.029,0.24,109.0,5.8,3
9.3,0.9932,0.054,0.24,158.0,5.8,6
9.6,0.9935,0.04,0.26,147.0,6.7,8
11.0,0.9927,0.035,0.35,97.0,6.3,7
11.0,0.9927,0.035,0.35,97.0,6.3,7
11.8,0.9912,0.032,0.23,118.0,6.4,6
11.4,0.9904,0.037,0.36,75.0,5.8,4
10.2,0.9939,0.048,0.115,108.0,6.9,6
8.9,0.9996,0.043,0.29,156.0,6.9,5
10.2,0.9944,0.036,0.28,95.0,6.9,5
9.6,0.9977,0.045,0.29,231.0,7.2,6
10.6,0.9912,0.038,0.24,167.0,6.2,6
8.9,0.9996,0.043,0.29,156.0,6.9,5
9.2,0.9965,0.053,0.32,180.0,6.9,6
9.7,0.9944,0.043,0.58,149.0,5.3,5
9.7,0.9945,0.044,0.585,145.0,5.3,6
9.7,0.9944,0.045,0.59,147.0,5.4,6
9.2,0.9965,0.053,0.32,180.0,6.9,6
9.7,0.9944,0.044,0.6,147.0,5.2,5
9.3,0.9972,0.051,0.25,148.0,5.8,5
9.0,0.9949,0.057,0.58,123.0,6.6,5
9.5,0.9966,0.046,0.29,234.0,7.0,5
9.8,0.9954,0.046,0.19,169.0,6.6,6
9.8,0.9954,0.044,0.2,166.0,6.7,6
10.6,0.9915,0.042,0.26,60.0,7.7,5
10.6,0.9919,0.044,0.32,67.0,6.8,4
12.4,0.9916,0.036,0.3,105.0,7.0,7
12.6,0.99,0.034,0.24,112.0,7.0,8
12.3,0.9909,0.039,0.31,114.0,6.1,8
10.5,0.9938,0.047,0.44,201.0,6.8,4
9.3,0.9982,0.054,0.34,196.0,6.7,5
8.8,0.9988,0.055,0.35,198.0,7.1,5
8.8,0.9961,0.056,0.32,180.0,7.3,5
9.7,0.9978,0.053,0.28,190.0,6.5,6
9.0,0.9979,0.058,0.23,192.0,7.2,7
9.0,0.9979,0.058,0.23,192.0,7.2,7
9.0,0.9979,0.058,0.23,192.0,7.2,7
9.0,0.9979,0.058,0.23,192.0,7.2,7
10.5,0.9945,0.041,0.15,155.0,5.9,6
9.1,1.0,0.066,0.28,195.0,7.4,5
9.8,0.9957,0.041,0.28,157.0,6.2,7
8.5,0.9968,0.066,0.59,182.0,9.1,3
9.4,0.9934,0.046,0.33,175.0,6.3,6
9.4,0.9976,0.045,0.39,169.0,8.3,5
11.2,0.9932,0.041,0.19,187.0,7.2,7
10.0,0.997,0.046,0.17,146.0,7.5,6
10.3,0.9923,0.043,0.17,122.0,6.7,6
10.8,0.9914,0.063,0.41,87.0,6.1,6
10.5,0.992,0.05,0.2,74.0,8.3,6
10.8,0.9914,0.063,0.41,87.0,6.1,6
11.1,0.9914,0.055,0.29,168.0,6.0,6
9.9,0.9949,0.057,0.41,163.0,7.3,6
9.9,0.9949,0.057,0.41,163.0,7.3,6
9.9,0.995,0.058,0.43,163.0,7.2,5
9.9,0.995,0.058,0.4,166.0,7.3,6
10.4,0.9927,0.036,0.33,134.0,6.2,7
10.4,0.9928,0.037,0.31,148.0,6.2,6
11.5,0.9917,0.035,0.36,100.0,6.1,7
12.5,0.9918,0.032,0.55,164.0,5.0,8
10.0,0.9954,0.042,0.25,149.0,7.8,6
10.0,0.9941,0.038,0.36,166.0,5.7,6
10.0,0.9941,0.04,0.34,167.0,5.8,5
9.1,0.9934,0.132,0.28,127.0,6.8,6
10.6,0.9927,0.031,0.25,134.0,6.8,6
10.5,0.9938,0.031,0.24,135.0,6.6,5
11.5,0.9933,0.03,0.3,133.0,5.9,7
10.1,0.9934,0.04,0.125,69.0,6.1,6
10.3,0.9927,0.041,0.1,65.0,6.0,7
10.5,0.9938,0.031,0.24,135.0,6.6,5
10.6,0.9927,0.031,0.25,134.0,6.8,6
10.4,0.9946,0.031,0.28,137.0,6.8,6
11.4,0.993,0.046,0.41,207.0,8.3,5
10.5,0.9946,0.057,0.27,313.0,7.5,5
10.0,0.9976,0.04,0.26,216.0,7.9,6
10.0,0.9944,0.039,0.34,143.0,6.4,6
9.6,0.9978,0.042,0.28,195.0,6.5,6
10.4,0.992,0.036,0.21,85.0,7.2,5
12.5,0.9912,0.03,0.32,101.0,6.4,8
10.6,0.9927,0.032,0.24,135.0,6.8,5
11.8,0.9906,0.033,0.23,91.0,6.3,6
9.8,0.9954,0.038,0.28,133.0,6.5,5
10.8,0.9923,0.031,0.26,80.0,5.6,5
11.8,0.9906,0.033,0.23,91.0,6.3,6
11.2,0.991,0.036,0.23,105.0,6.3,6
9.3,0.9972,0.045,0.27,170.0,5.8,6
10.4,0.9945,0.047,0.26,139.0,5.9,5
10.2,0.9934,0.049,0.18,141.0,6.6,7
9.0,0.9964,0.045,0.2,153.0,7.4,7
10.0,0.9948,0.047,0.24,129.0,8.0,6
9.1,0.9962,0.044,0.26,140.0,6.4,6
10.0,0.9931,0.053,0.31,144.0,5.4,5
10.0,0.993,0.052,0.29,145.0,5.4,6
9.6,0.9942,0.05,0.145,131.0,7.1,6
11.2,0.9906,0.031,0.34,68.0,5.6,7
8.8,0.9995,0.056,0.19,155.0,6.7,6
10.0,0.998,0.052,0.18,118.0,7.8,6
10.0,0.997,0.054,0.17,137.0,7.6,5
11.4,0.9914,0.044,0.12,146.0,6.3,7
11.9,0.992,0.038,0.33,138.0,7.3,7
9.6,0.9924,0.071,0.335,128.0,5.5,6
11.9,0.992,0.038,0.33,138.0,7.3,7
9.6,0.9937,0.047,0.4,245.0,5.8,6
9.0,0.9978,0.063,0.22,191.0,7.3,6
9.0,0.9978,0.063,0.22,191.0,7.3,6
9.5,0.9927,0.05,0.36,169.0,6.1,6
10.4,0.994,0.05,0.2,152.0,10.0,6
10.6,0.9935,0.04,0.24,161.0,6.9,6
10.2,0.9968,0.047,0.24,162.0,6.4,6
8.9,0.9941,0.055,0.365,84.0,7.1,5
9.7,0.9942,0.05,0.15,127.0,6.8,6
9.0,0.9978,0.063,0.22,191.0,7.3,6
11.4,0.9923,0.037,0.16,102.0,6.8,7
12.3,0.9912,0.028,0.26,113.0,6.0,7
10.8,0.9923,0.089,0.18,143.0,6.0,6
9.4,0.9927,0.053,0.33,148.0,6.9,6
10.6,0.9931,0.049,0.29,178.0,7.7,6
11.6,0.9941,0.044,0.39,72.0,7.1,5
9.4,0.9927,0.053,0.33,148.0,6.9,6
10.6,0.9931,0.049,0.29,178.0,7.7,6
10.0,0.9934,0.048,0.905,204.0,6.6,5
9.2,0.9936,0.048,0.27,149.0,7.2,6
12.5,0.9893,0.027,0.33,89.0,5.1,7
12.5,0.9893,0.027,0.33,89.0,5.1,7
10.4,0.9919,0.037,0.31,119.0,6.4,7
10.0,0.9924,0.045,0.2,98.0,7.3,7
10.0,0.9927,0.049,0.32,155.0,5.7,6
10.4,0.9919,0.037,0.31,119.0,6.4,7
10.0,0.9924,0.045,0.2,98.0,7.3,7
9.0,0.9975,0.046,0.28,179.0,7.2,6
9.2,0.9969,0.051,0.35,157.0,7.5,6
9.2,0.9936,0.048,0.27,149.0,7.2,6
11.3,0.991,0.027,0.36,125.0,6.0,7
12.5,0.9893,0.027,0.33,89.0,5.1,7
10.8,0.9906,0.026,0.17,115.0,5.0,7
10.1,0.9941,0.04,0.39,260.0,6.3,5
9.7,0.995,0.047,0.21,140.0,6.7,6
9.3,0.9983,0.032,0.3,181.0,7.0,7
9.3,0.9983,0.032,0.3,181.0,7.0,7
10.6,0.9916,0.031,0.36,66.0,6.5,5
10.2,0.9957,0.031,0.55,125.0,6.1,6
12.2,0.99,0.021,0.24,69.0,7.3,6
8.8,0.9976,0.044,0.37,163.0,6.8,5
10.0,0.992,0.04,0.27,168.0,6.8,5
11.4,0.9917,0.031,0.28,93.0,8.2,5
11.4,0.9917,0.037,0.2,107.0,6.3,6
9.4,0.9993,0.048,0.26,168.0,5.9,5
11.7,0.9908,0.032,0.19,83.0,6.4,6
11.4,0.9917,0.037,0.2,107.0,6.3,6
8.8,0.9976,0.044,0.37,163.0,6.8,5
9.2,0.9934,0.069,0.35,108.0,6.1,5
8.7,1.0,0.046,0.27,252.0,7.1,5
12.6,0.9918,0.035,0.22,170.0,6.8,6
10.0,0.992,0.04,0.27,168.0,6.8,5
12.8,0.9896,0.031,0.28,99.0,5.8,7
9.4,0.9932,0.049,0.49,125.0,6.9,5
10.3,0.992,0.044,0.14,116.0,6.3,6
11.4,0.9917,0.031,0.28,93.0,8.2,5
9.0,0.9999,0.038,0.25,155.0,7.2,6
9.6,0.998,0.04,0.28,140.0,7.3,6
10.5,0.9918,0.036,0.19,85.0,7.2,5
10.5,0.9918,0.036,0.19,85.0,7.2,5
9.0,0.9999,0.038,0.25,155.0,7.2,6
9.6,0.998,0.04,0.28,140.0,7.3,6
9.8,0.9927,0.041,0.21,99.0,7.4,6
9.0,0.9959,0.047,0.26,210.0,6.8,5
9.8,0.9927,0.041,0.21,99.0,7.4,6
10.5,0.9929,0.05,0.31,137.0,7.4,6
12.7,0.9898,0.03,0.22,136.0,7.0,7
10.4,0.9954,0.045,0.21,222.0,7.0,6
10.4,0.9954,0.045,0.21,221.0,7.0,6
10.4,0.9954,0.045,0.21,221.0,7.0,6
10.5,0.9954,0.047,0.23,162.0,6.9,7
10.4,0.9954,0.045,0.21,222.0,7.0,6
10.4,0.9954,0.045,0.21,221.0,7.0,6
9.4,0.9974,0.053,0.29,194.0,6.8,5
9.1,0.9936,0.051,0.21,89.0,7.8,5
9.3,0.9978,0.056,0.31,197.0,7.1,5
9.4,0.9974,0.053,0.29,194.0,6.8,5
9.8,0.9927,0.048,0.34,84.0,6.4,5
9.9,0.9934,0.045,0.155,214.0,7.4,7
9.2,0.9938,0.108,0.55,151.0,7.2,4
12.1,0.9922,0.028,0.23,104.0,7.0,8
12.2,0.992,0.027,0.2,97.0,6.9,7
9.8,0.9935,0.042,0.28,218.5,6.1,5
12.4,0.9906,0.035,0.16,186.0,6.6,8
9.9,0.9934,0.045,0.155,214.0,7.4,7
9.2,0.9934,0.06,0.35,108.0,6.2,5
11.6,0.9913,0.028,0.22,102.0,6.7,7
10.4,0.9938,0.033,0.38,137.0,6.1,6
12.9,0.9898,0.026,0.25,126.0,6.0,8
9.3,0.9975,0.048,0.52,245.0,6.6,6
11.0,0.9975,0.031,0.24,139.0,6.9,6
11.5,0.9937,0.038,0.32,66.0,7.1,3
12.4,0.9914,0.054,0.28,156.0,5.8,5
9.8,0.9982,0.048,0.41,113.0,6.5,6
9.8,0.9982,0.048,0.41,113.0,6.5,6
10.5,0.9929,0.052,0.28,127.0,6.4,7
9.1,0.9971,0.07,0.6,174.0,7.2,5
10.1,0.9921,0.038,0.2,128.0,6.1,5
10.6,0.9931,0.042,0.46,160.0,5.9,7
10.5,0.9924,0.046,0.27,113.0,6.0,7
10.5,0.9929,0.052,0.28,127.0,6.4,7
9.8,0.9982,0.048,0.41,113.0,6.4,6
12.9,0.9892,0.022,0.23,82.0,6.3,7
9.5,0.9956,0.056,0.21,111.0,7.1,5
9.8,0.9924,0.053,0.37,218.5,6.0,6
8.5,0.9971,0.059,0.43,249.0,6.1,5
9.5,0.9956,0.056,0.21,111.0,7.1,5
9.3,0.9982,0.047,0.25,171.0,7.0,5
9.5,0.9973,0.047,0.25,162.0,5.9,5
9.4,0.9932,0.044,0.32,68.0,6.8,6
8.7,0.9976,0.047,0.39,178.0,7.2,5
8.9,0.9962,0.081,0.21,126.0,6.3,5
9.4,0.9956,0.039,0.14,141.0,7.0,6
9.4,0.9932,0.044,0.32,68.0,6.8,6
8.7,0.9976,0.047,0.39,178.0,7.2,5
9.6,0.9992,0.047,0.29,182.0,7.2,5
9.3,0.9983,0.039,0.37,158.0,8.6,6
10.0,0.9937,0.036,0.38,200.0,6.5,5
12.5,0.99,0.023,0.24,86.0,6.6,6
9.6,0.9944,0.034,0.17,132.0,7.0,7
9.4,0.9938,0.03,0.16,102.0,5.5,6
9.5,0.9965,0.029,0.24,227.0,7.0,5
12.4,0.9893,0.028,0.28,105.0,7.4,7
10.5,0.9927,0.037,0.22,115.0,7.0,6
9.2,0.994,0.073,0.55,165.0,7.1,6
10.4,0.9928,0.041,0.22,164.0,6.3,6
9.2,0.9964,0.043,0.47,172.0,6.7,5
10.6,0.9917,0.047,0.36,104.0,5.9,6
9.5,0.9972,0.044,0.25,137.0,5.8,5
9.2,0.9964,0.043,0.47,172.0,6.7,5
9.6,0.9954,0.346,0.37,200.0,6.2,5
9.7,0.993,0.028,0.18,117.0,6.2,6
9.7,0.9928,0.025,0.16,117.0,6.0,6
10.7,0.9916,0.035,0.34,90.0,6.6,6
10.5,0.9936,0.045,0.29,180.0,7.4,6
8.9,0.9962,0.047,0.26,177.0,7.4,6
12.1,0.9899,0.035,0.28,70.0,7.0,6
12.7,0.9898,0.032,0.23,65.0,7.1,7
9.9,0.996,0.039,0.19,182.0,7.8,6
11.4,0.9907,0.022,0.19,158.0,6.3,6
10.7,0.994,0.04,0.2,103.0,6.8,6
12.5,0.9913,0.025,0.44,173.0,5.7,6
8.6,0.9976,0.041,0.4,189.0,7.2,4
12.5,0.9904,0.026,0.23,147.0,6.8,6
10.0,0.992,0.04,0.335,174.0,5.7,5
8.6,0.9976,0.041,0.4,189.0,7.2,4
9.5,0.999,0.045,0.28,200.0,7.2,6
9.6,0.9975,0.038,0.19,164.0,6.8,6
9.9,0.9937,0.038,0.3,210.0,6.4,6
9.9,0.9937,0.037,0.3,210.0,6.5,5
8.9,0.998,0.053,0.18,140.0,7.8,6
8.9,0.998,0.053,0.18,140.0,7.8,6
8.8,0.9944,0.09,0.51,135.0,7.3,5
10.0,0.9938,0.048,0.24,170.0,6.0,7
12.0,0.9907,0.039,0.62,152.0,5.9,6
10.0,0.9938,0.048,0.24,170.0,6.0,7
10.0,0.9921,0.041,0.27,138.0,6.7,6
12.1,0.9908,0.042,0.34,167.0,7.8,6
11.0,0.9931,0.04,0.26,141.0,7.3,6
11.2,0.9915,0.025,0.36,55.0,7.4,6
10.3,0.9952,0.036,0.28,115.0,7.8,7
10.4,0.9926,0.051,0.31,167.0,6.1,6
9.1,0.9934,0.055,0.18,154.0,6.8,5
10.4,0.992,0.045,0.15,154.0,7.4,6
